pred_delta_ratio,real_delta_ratio,pred_delta,real_delta,real_price
-0.48766315,-0.7780113,-0.945147515292188,-1.740000000000009,129.66
-0.104353204,-0.049297698,-0.07616006522442506,0.030000000000001137,129.69
-0.5192904,-0.11517012,-1.1091503811439536,-0.12999999999999545,129.56
0.44299978,0.66706485,1.2762297455335796,1.7700000000000102,131.33
-0.033584125,-0.69978786,0.08797902142538354,-1.5500000000000114,129.78
-0.30707955,-0.50628763,-0.5941592248398293,-1.0800000000000125,128.7
0.12113671,0.4406284,0.4689135197521267,1.2199999999999989,129.92
0.18957296,-1.0744373,0.6156192799796798,-2.4599999999999937,127.46
0.0662549,0.31300062,0.3770624803579587,0.9100000000000108,128.37
0.9035817,0.23066008,2.420671692315153,0.710000000000008,129.08
0.053170048,1.2928529,0.2718498151141864,3.289999999999992,132.37
-0.3851145,-1.1279585,-0.7400375688975405,-2.5900000000000034,129.78
0.5142231,-0.020478515,1.430919715270025,0.09999999999999432,129.88
0.6709753,0.40357518,1.8482340581953998,1.1299999999999955,131.01
0.6574137,1.4040126,1.7392587855746124,3.5600000000000023,134.57
0.16275172,0.47768167,0.5936075892883943,1.3100000000000023,135.88
-0.14666608,0.057744984,-0.18357926972950944,0.28999999999999204,136.17
-0.13336635,-0.2716171,-0.14384793499084667,-0.5099999999999909,135.66
-0.29320082,-0.016361488,-0.5859905944969016,0.11000000000001364,135.77
-0.4160418,-0.6009792,-0.8502455823040287,-1.3100000000000023,134.46
0.5244982,0.2677133,1.3356091404584145,0.799999999999983,135.26
-0.19803867,0.39945817,-0.30510816288068987,1.1200000000000045,136.38
-0.35359815,0.16067064,-0.6984998304116412,0.539999999999992,136.92
0.15278585,-0.71213895,0.5548099130104572,-1.579999999999984,135.34
-0.08335718,0.5023838,-0.03458128159784418,1.3700000000000045,136.71
0.19508514,0.51061785,0.6574463005200166,1.3899999999999864,138.1
0.024682865,-0.3498406,0.22860525339066007,-0.6999999999999886,137.4
-1.0438296,0.27183035,-2.42479542141308,0.8100000000000023,138.21
-1.1459416,-0.13163823,-2.59953997292293,-0.17000000000001592,138.04
-1.591107,-1.8319701,-3.747788804485586,-4.299999999999983,133.74
-0.9193368,-1.4202675,-2.128690068527785,-3.3000000000000114,130.44
-1.0998827,-0.13987228,-2.4671697367722767,-0.18999999999999773,130.25
-0.11202741,0.29241547,-0.11234794725540073,0.8600000000000136,131.11
0.038023338,-1.109432,0.2678785867604937,-2.545000000000016,128.565
0.1950939,0.7514639,0.631955783346482,1.9749999999999943,130.54
-0.36078274,0.66706485,-0.6803166503197642,1.7700000000000102,132.31
0.28162378,-0.65861756,0.8763682587042636,-1.4499999999999886,130.86
0.83490145,1.3010869,2.2505960824871014,3.309999999999974,134.17
-0.18757303,-0.7780113,-0.32494670701794065,-1.7399999999999807,132.43
1.4021493,1.0952356,3.655508423911584,2.8100000000000023,135.24
-0.6679292,-0.13163823,-1.3513504603580226,-0.17000000000001592,135.07
1.258977,0.9717248,3.255540064705003,2.5100000000000193,137.58
-0.457008,0.28418142,-0.9547901343310499,0.839999999999975,138.42
0.9456415,-0.20986173,2.525707057059625,-0.3599999999999852,138.06
-0.025290363,0.9634908,0.10840143947422748,2.490000000000009,140.55
0.32794058,-0.71213895,0.9885779232175038,-1.5800000000000125,138.97
-0.092028394,-0.72449,-0.06217299544570479,-1.6099999999999852,137.36
-0.009989947,0.6526553,0.12368417613749497,1.7349999999999852,139.095
0.22943474,0.19566536,0.7777578463333211,0.625,139.72
-0.16252364,-0.7862454,-0.2154201717530455,-1.759999999999991,137.96
-1.2777961,-0.14810632,-3.013512607678886,-0.21000000000000796,137.75
0.17188759,-0.9468094,0.6058759350791323,-2.1500000000000057,135.6
1.6806859,0.30888358,4.305431225889613,0.9000000000000057,136.5
-1.7148322,0.88938427,-4.10865369914021,2.3100000000000023,138.81
-0.6487677,-5.4961233,-1.38917861582476,-13.200000000000003,125.61
-0.90231967,-1.4326185,-1.9980465582746318,-3.3299999999999983,122.28
0.24135247,-0.10693607,0.7767033318462718,-0.10999999999999943,122.17
-0.01646474,0.88115025,0.14523980741404596,2.289999999999992,124.46
0.5996553,-0.21809578,1.6205747877370376,-0.37999999999999545,124.08
0.06802036,0.91408646,0.34933402121682683,2.3700000000000045,126.45
0.28208682,0.36652195,0.7893707251335027,1.039999999999992,127.49
0.29686347,0.6011925,0.9043313635723581,1.6099999999999994,129.1
-0.17065488,0.41180924,-0.24509444209420128,1.1500000000000057,130.25
0.5751382,0.23477711,1.6047022127014832,0.7199999999999989,130.97
-0.20120266,0.2965325,-0.3247619605821112,0.8700000000000045,131.84
0.8239499,-0.720373,2.2248416003430034,-1.5999999999999943,130.24
-0.08232118,0.9058524,-0.037988128761594075,2.3499999999999943,132.59
0.017482609,-0.2675001,0.19140575174797758,-0.5,132.09
0.25158575,0.56825626,0.8321506322657631,1.5300000000000011,133.62
1.1500622,0.35005385,3.030128649861595,1.0,134.62
-0.31114176,0.88938427,-0.6274189440539335,2.3100000000000023,136.93
0.31279272,-0.728607,0.9463524235577514,-1.6200000000000045,135.31
-0.3475502,0.3253517,-0.6927462513205276,0.9399999999999977,136.25
0.7031845,0.23477711,1.92865393175513,0.7199999999999989,136.97
0.06270328,0.5641392,0.31486678469097723,1.5200000000000102,138.49
0.27941358,-0.8027135,0.8774826425663744,-1.8000000000000114,136.69
-0.61527133,-0.17692551,-1.343300809976086,-0.28000000000000114,136.41
-0.20735526,0.2635963,-0.3268162356490536,0.789999999999992,137.2
-0.066100374,-0.9715116,-0.024744511115465995,-2.2099999999999795,134.99
-1.4101208,-1.0744373,-3.3137246137690304,-2.460000000000008,132.53
-0.64174783,-0.33748955,-1.2923546643454527,-0.6699999999999875,131.86
0.35061607,-1.1279585,1.0356917195253732,-2.5900000000000034,129.27
-0.8527936,0.6464797,-1.9357024712759099,1.7199999999999989,130.99
1.9292569,-0.46100032,4.970798723710796,-0.9699999999999989,130.02
-0.23604214,2.7832162,-0.41055009617700333,6.909999999999997,136.93
-1.4662298,-0.86035186,-3.483248945076274,-1.9399999999999977,134.99
-1.4683461,-0.7615432,-3.4911760034643327,-1.700000000000017,133.29
-0.10479504,-0.37865978,-0.11001633083817092,-0.7699999999999818,132.52
-0.7547039,-0.041063648,-1.6388383122725483,0.04999999999998295,132.57
0.4310708,-0.32102144,1.2523236438088698,-0.6299999999999955,131.94
2.0313342,0.21007496,5.154758232560157,0.6599999999999966,132.6
0.1271332,1.2557997,0.49773355230195304,3.200000000000017,135.8
0.1085121,0.28829846,0.43112705438953514,0.8499999999999943,136.65
